Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
276,236,-121.96183611348222,77113,107,40.00687,116.32431499999998,-112,-9.5,2018-12-22T09:10:44.954876451Z
272,236,-128.37736039420676,77117,108,40.00717667,116.32430829999998,-121,-6.5,2018-12-22T09:10:54.605351946Z
269,236,-122.79009749652565,77122,110,40.007465,116.3242817,-115,-7.0,2018-12-22T09:11:04.919606803Z
266,236,-121.63892034143379,77127,111,40.00772833,116.3242017,-113,-8.0,2018-12-22T09:11:15.04799452Z
265,233,-119.24814186348229,77132,113,40.00779833,116.3238517,-115,-2.2,2018-12-22T09:11:26.113172868Z
266,229,-123.41392685158225,77141,114,40.00775833,116.32347,-113,-10.0,2018-12-22T09:11:36.254567454Z
266,226,-126.16954289279532,77146,116,40.00774833,116.32306329999999,-112,-14.0,2018-12-22T09:11:46.714468855Z
265,223,-117.04220837241459,77151,117,40.007835,116.32277169999999,-111,-4.8,2018-12-22T09:11:56.718439815Z
262,223,-106.51329815912464,77158,118,40.008075,116.32270829999999,-105,3.8,2018-12-22T09:12:06.322049779Z
260,222,-113.5993868649763,77165,119,40.00830667,116.32266670000001,-108,-4.2,2018-12-22T09:12:16.618576814Z
259,222,-107.51329815912464,77171,120,40.00839833,116.3226433,-106,3.8,2018-12-22T09:12:25.649344506Z
256,222,-119.2108185264953,77182,122,40.00865,116.3226533,-111,-7.5,2018-12-22T09:12:44.301382986Z
256,222,-119.95746206410163,77190,124,40.00865,116.32261000000001,-112,-7.2,2018-12-22T09:12:56.084535154Z
256,222,-78.66683163887967,77201,127,40.008645,116.32258329999999,-78,7.8,2018-12-22T09:13:16.696814031Z
255,221,-92.39612087980606,77212,130,40.00871333,116.32247,-92,10.2,2018-12-22T09:13:37.515349846Z
254,220,-104.2422083724146,77216,131,40.00878,116.32237169999999,-103,4.8,2018-12-22T09:13:47.516443835Z
256,220,-128.40304509533888,77228,134,40.00866167,116.3223533,-115,-13.2,2018-12-22T09:14:07.589447105Z
255,221,-84.46183611348224,77369,180,40.008685,116.32253829999999,-84,9.5,2018-12-22T09:20:13.575291123Z
254,222,-79.33195619988426,77374,181,40.00877833,116.3225983,-79,11.0,2018-12-22T09:20:24.071074502Z
254,222,-81.41392685158225,77380,183,40.00882,116.32258999999999,-81,10.0,2018-12-22T09:20:38.706301055Z
254,222,-84.3469917995764,77383,184,40.00877,116.3225867,-84,10.8,2018-12-22T09:20:43.819791261Z
255,222,-89.49305820175225,77389,186,40.00869667,116.3225817,-89,9.2,2018-12-22T09:20:55.445131884Z
256,222,-86.87736039420678,77393,187,40.00867333,116.32260500000001,-86,6.5,2018-12-22T09:21:04.669620312Z
256,222,-85.93380807687734,77397,188,40.00864667,116.3226317,-85,6.2,2018-12-22T09:21:14.216391485Z
255,222,-98.5738221927363,77402,189,40.00872667,116.32263,-98,8.5,2018-12-22T09:21:24.425394171Z
250,223,-86.43249407632486,77410,191,40.009190000000004,116.32266829999999,-86,9.8,2018-12-22T09:21:40.446877978Z
247,223,-98.01412565612068,77418,193,40.00943833,116.32266829999999,-97,5.8,2018-12-22T09:21:55.027167755Z
247,224,-106.97322793708695,77421,194,40.00947833,116.32288,-106,6.0,2018-12-22T09:22:00.548430064Z
246,227,-97.2422083724146,77428,195,40.009495,116.32316170000001,-96,4.8,2018-12-22T09:22:10.371399657Z
246,232,-110.83215008122022,77441,198,40.00954,116.32378999999999,-109,2.8,2018-12-22T09:22:33.594323651Z
244,233,-113.83215008122022,77444,199,40.009705,116.323935,-112,2.8,2018-12-22T09:22:42.618586432Z
242,234,-105.01412565612068,77449,200,40.00987167,116.323995,-104,5.8,2018-12-22T09:22:53.54990305Z
241,233,-117.89859540490393,77457,202,40.00996,116.3238483,-113,-3.2,2018-12-22T09:23:05.037185665Z
240,232,-115.0102999566398,77462,204,40.01010333,116.3238067,-112,0.0,2018-12-22T09:23:20.476680709Z
239,233,-119.57833241382157,77468,205,40.010145,116.323825,-113,-5.5,2018-12-22T09:23:30.35879577Z
240,233,-116.82474080687588,77471,206,40.010104999999996,116.32386499999998,-113,-1.5,2018-12-22T09:23:40.035936676Z
236,231,-130.13520922108037,77510,215,40.01041,116.32369170000001,-115,-15.0,2018-12-22T09:24:48.868340184Z
238,232,-109.76434862436486,77525,219,40.01024167,116.32373329999999,-108,3.0,2018-12-22T09:25:23.45323992Z
238,232,-118.81879480002064,77530,221,40.01027667,116.32373329999999,-113,-4.5,2018-12-22T09:25:33.84551239Z
237,232,-102.79009749652565,77536,223,40.01033667,116.32375,-102,7.0,2018-12-22T09:25:48.269353575Z
238,232,-100.51329815912464,77539,224,40.01030167,116.32374170000001,-99,3.8,2018-12-22T09:25:53.43770006Z
236,231,-107.45540463109293,77543,225,40.01039833,116.323695,-106,4.0,2018-12-22T09:26:03.246377782Z
236,231,-94.43249407632486,77549,227,40.01043667,116.32367169999999,-94,9.8,2018-12-22T09:26:13.909181817Z
237,231,-105.75746206410165,77553,228,40.010385,116.32364170000001,-105,7.2,2018-12-22T09:26:24.065735408Z
241,232,-107.63892034143379,77558,229,40.00999333,116.32381170000001,-107,8.0,2018-12-22T09:26:33.677906898Z
241,233,-101.51329815912464,77563,231,40.00996833,116.32385670000001,-100,3.8,2018-12-22T09:26:45.36441972Z
242,233,-98.5149694202523,77573,234,40.00991667,116.32386000000001,-98,9.0,2018-12-22T09:27:06.716699549Z
242,233,-99.66683163887969,77578,235,40.00989667,116.32383670000002,-99,7.8,2018-12-22T09:27:17.333489998Z
242,233,-100.49305820175225,77582,236,40.00988167,116.32385330000001,-100,9.2,2018-12-22T09:27:22.593220661Z
242,233,-97.5738221927363,77590,238,40.00988333,116.32386170000001,-97,8.5,2018-12-22T09:27:33.157863579Z
242,233,-99.82401015882705,77597,239,40.00987833,116.32388329999999,-99,6.8,2018-12-22T09:27:43.539008148Z
242,233,-97.61209675612976,77611,242,40.009895,116.32386670000001,-97,8.2,2018-12-22T09:28:08.432513107Z
242,233,-96.63892034143379,77618,243,40.00989333,116.32383,-96,8.0,2018-12-22T09:28:18.632927303Z
242,232,-97.5149694202523,77623,244,40.009890000000006,116.32381670000001,-97,9.0,2018-12-22T09:28:28.803439769Z
242,233,-96.93380807687734,77627,245,40.00988667,116.3238317,-96,6.2,2018-12-22T09:28:34.399571403Z
242,233,-95.61209675612976,77634,247,40.00989833,116.32383329999999,-95,8.2,2018-12-22T09:28:45.263430629Z
242,233,-100.97322793708695,77640,248,40.00988833,116.3238267,-100,6.0,2018-12-22T09:28:54.514666368Z
242,233,-99.79009749652565,77647,250,40.00988333,116.32384170000002,-99,7.0,2018-12-22T09:29:05.826354562Z
242,233,-101.93380807687734,77655,252,40.009885,116.323835,-101,6.2,2018-12-22T09:29:17.13546878Z
242,233,-99.41392685158225,77670,256,40.00987,116.32385500000001,-99,10.0,2018-12-22T09:29:42.85221833Z
242,233,-107.5738221927363,77676,257,40.00987333,116.323895,-107,8.5,2018-12-22T09:29:52.774716027Z
