Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
347,191,-116.45540463109293,167803,85,40.00042333,116.3191067,-111,-4.0,2019-03-12T03:57:46.512784948Z
348,192,-121.8707776445072,167805,86,40.00036167,116.319175,-111,-10.5,2019-03-12T03:57:51.539332842Z
347,192,-117.97322793708695,167810,89,40.000375,116.3192233,-111,-6.0,2019-03-12T03:58:16.160029359Z
348,192,-125.02214159641585,167813,91,40.00035,116.3192267,-112,-12.8,2019-03-12T03:58:31.080171679Z
350,195,-124.07785455239159,167824,98,40.00012333,116.3195367,-112,-11.8,2019-03-12T03:59:20.36998063Z
347,194,-123.33195619988427,167827,100,40.00041333,116.3194133,-112,-11.0,2019-03-12T03:59:35.018342981Z
347,194,-124.45410721860875,167829,101,40.00043667,116.3193967,-112,-12.2,2019-03-12T03:59:44.100186899Z
346,193,-116.45540463109293,167833,103,40.00054167,116.3193183,-111,-4.0,2019-03-12T03:59:55.365195634Z
346,194,-116.81879480002064,167835,104,40.00053167,116.31936,-111,-4.5,2019-03-12T04:00:04.734528265Z
345,194,-115.00289472231206,167837,105,40.00056,116.3193783,-111,-1.8,2019-03-12T04:00:10.163073836Z
346,194,-112.76749156458187,167841,107,40.00053667,116.3193967,-110,0.5,2019-03-12T04:00:21.867928132Z
346,194,-107.82474080687588,167843,108,40.0005,116.31946,-104,-1.5,2019-03-12T04:00:30.365647634Z
346,194,-110.83215008122022,167845,109,40.00053667,116.319455,-109,2.8,2019-03-12T04:00:40.208928791Z
346,194,-120.95746206410163,167849,111,40.00054333,116.3194483,-113,-7.2,2019-03-12T04:00:51.551425448Z
